number_of_total_atoms,percent_atom_al,percent_atom_ga,percent_atom_in,lattice_vector_1_ang,lattice_vector_2_ang,lattice_vector_3_ang,lattice_angle_alpha_degree,lattice_angle_beta_degree,lattice_angle_gamma_degree,formation_energy_ev_natom,bandgap_energy_ev,avg_rs_max,avg_rCovalent,avg_vIonic,avg_electronegativity,avg_rp_max,avg_LUMO,avg_IP,avg_rd_max,avg_EA,avg_HOMO,avg_rIonic,avg_vCovalent,avg_mass,lattice_angle_alpha_degree_r,lattice_angle_beta_degree_r,lattice_angle_gamma_degree_r,vol,atomic_density,SG_33,SG_194,SG_227,SG_167,SG_12,SG_206,Al_coord, Al_O_mean, Ga_coord, Ga_O_mean, In_coord, In_O_mean, O_coord,Hf_log,band_log,Al?,Ga?,In?
80.0,0.5938,0.4062,0.0,6.1935,6.1934,23.6522,90.0189,89.99799999999998,120.0021,0.259,2.8805,1.073132,1.214062,1.5118742303922001,1.69124,1.4309459999999998,0.2713244,-5.79551684,2.72411,-0.19610116,-2.7112170000000004,0.682186,7.4960511003024015,44.34312022068,1.5711261940235235,1.5707614202098563,2.094431754307488,785.7026665336897,0.10181968753261156,0,1,0,0,0,0,5.57894736842105,1.97845459027,5.384615384615384,1.93780652986,0.0,0.0,3.6666666666666665,-1.3509272172825992,1.0579638901903008,1,1,0
40.0,0.8125,0.1875,0.0,4.9323,8.4765,9.1059,90.0044,90.0024,90.0015,0.0535,3.9039,1.1037499999999998,1.211875,1.3914735313125,1.6475,1.468125,0.323375,-5.7871625,2.931875,-0.2285125,-2.7035625000000003,0.675625,7.455480292499999,34.995562612499995,1.5708731212819844,1.5708382146969444,1.5708225067336763,380.7053020395308,0.1050681453231943,1,0,0,0,0,0,5.384615384615384,1.93630526962,4.666666666666667,1.86410474338,0.0,0.0,3.5,-2.928073625080176,1.3619760534686842,1,1,0
80.0,0.125,0.875,0.0,9.3513,9.3512,9.3507,90.0059,90.0051,89.9933,0.078,2.5371,1.0074999999999998,1.21875,1.769962240125,1.785,1.35125,0.15975,-5.8134250000000005,2.27875,-0.126625,-2.727625,0.6962499999999999,7.583017697000001,64.380317325,1.5708993012207642,1.5708853385867485,1.5706793897350129,817.6801447853651,0.09783776762856264,0,0,0,0,0,1,6.0,1.99720787791,6.0,2.01926950181,0.0,0.0,4.0,-2.551046452292545,0.9310216964741492,1,1,0
80.0,0.375,0.125,0.5,6.6318,6.6314,24.4597,90.0152,90.0071,119.9918,0.39,0.9251,1.0925,1.31625,2.452511859375,1.7200000000000002,1.42375,0.5017499999999999,-5.663475,2.40625,-0.265875,-2.744875,0.7887500000000001,9.730393666,76.242451975,1.5710616168411995,1.570920245171788,2.094251985394532,931.6531314191272,0.08586886825372568,0,1,0,0,0,0,5.583333333333332,2.09743808681,5.5,2.0783497642400004,5.4375,2.06364956179,3.6666666666666665,-0.941608539858445,-0.07785343920486411,1,1,1
80.0,0.4375,0.1875,0.375,24.3679,6.2545,6.1721,89.9997,104.8418,90.0001,0.166,1.5852,1.08875,1.290625,2.2130583256875003,1.7112500000000002,1.426875,0.446,-5.6961875000000015,2.493125,-0.2495875,-2.7361875,0.7618750000000001,9.17036105475,67.9342356375,1.5707910908071407,1.829834603717391,1.5707980721241486,909.2995296160016,0.08797981016638612,0,0,0,0,1,0,4.714285714285714,1.96886944,4.666666666666667,1.96503406015,5.5,2.02256475794,3.333333333333333,-1.7957674906255938,0.46071058233414286,1,1,1
80.0,0.9062,0.0625,0.0312,6.1239,6.1235,23.4577,90.0089,90.00299999999999,120.0051,0.2544,2.2913,1.119889,1.2170559999999997,1.3908844323957,1.627643,1.485793,0.3632906,-5.774240380000001,3.01381,-0.24876531,-2.7016322,0.678984,7.5742276831828,32.39067937932,1.5709516610983238,1.570848686672456,2.0944841141850468,761.7659226102098,0.10501913727760097,0,1,0,0,0,0,5.482758620689657,1.93854009637,6.0,2.03583321071,5.0,1.82957180831,3.6666666666666665,-1.3688474475161698,0.8291193420831598,1,1,1
80.0,0.0,0.4062,0.5938,24.765,6.5014,6.4860000000000015,90.0003,105.241,90.0,0.0503,1.1844,1.0493800000000002,1.33876,2.8128263661252,1.792186,1.365628,0.4654970000000001,-5.65146096,2.029364,-0.22947272,-2.7628776000000004,0.8187599999999999,10.2115076246332,96.500411,1.5708015627826524,1.8368019580913524,1.5707963267948966,1007.5633115130677,0.07939947702131316,0,0,0,0,1,0,0.0,0.0,4.0,1.97297889147,5.684210526315789,2.10466038902,3.333333333333333,-2.9897502018764435,0.16923631724529908,0,1,1
30.0,0.4167,0.3333,0.25,5.0862,5.0858,13.6981,89.9942,90.0065,120.001,0.1919,2.5669999999999997,1.073338,1.265833,2.0194638602823,1.7191599999999998,1.4158389999999998,0.3704246,-5.73208206,2.500865,-0.22095494,-2.7304155000000003,0.737499,8.6257813392016,63.186383034619986,1.5706950976982808,1.5709097731962762,2.0944125556857154,306.8593037887638,0.09776467465575506,0,0,0,1,0,0,6.0,2.03535443735,6.0,2.0353544431,6.0,2.03535443917,4.0,-1.650780875968483,0.9427379018890033,1,1,1
20.0,0.25,0.25,0.5,12.2649,3.1889,6.3388,90.0,105.0943,90.0001,0.2063,1.5596,1.0750000000000002,1.3175,2.52132798825,1.745,1.4025,0.472,-5.6682500000000005,2.2875,-0.24735,-2.74925,0.7925,9.753582285,81.58513465,1.5707963267948966,1.8342415600786768,1.5707980721241486,239.36661798834805,0.08355383957914117,0,0,0,0,1,0,3.0,1.95049928369,3.5,2.01103375212,3.75,2.03524753949,2.333333333333333,-1.5784238589049309,0.4444293781263053,1,1,1
80.0,0.0,0.375,0.625,10.9377,9.3249,9.9463,89.9988,89.99799999999998,90.0,0.0918,1.1365,1.0525,1.345,2.86400571525,1.79125,1.3675,0.483125,-5.6427,2.0225,-0.23585,-2.7645,0.825,10.34839782475,97.907375,1.5707753828438729,1.5707614202098563,1.5707963267948966,1014.4525645756648,0.07886026690017113,1,0,0,0,0,0,0.0,0.0,4.583333333333333,2.04846085961,5.65,2.15198602537,3.5,-2.388142981355692,0.1279533643104609,0,1,1
30.0,0.5833,0.4167,0.0,4.9153,4.915,13.3346,89.9909,90.0103,120.0011,0.0566,3.9691,1.071662,1.214167,1.5176547852177,1.69334,1.4291610000000001,0.26882540000000005,-5.7959179400000025,2.714135,-0.19454506,-2.7115845000000003,0.682501,7.497998944298401,44.79190556538001,1.5706375018329648,1.5709760957078518,2.0944143010149667,278.9840366234972,0.10753303437388603,0,0,0,1,0,0,6.0,1.97170066672,6.0,1.97170066254,0.0,0.0,4.0,-2.871746293773,1.3785393687468235,1,1,0
30.0,0.6667,0.0,0.3333,5.0674,5.0672,13.6668,89.9903,90.0102,120.0016,0.2027,2.9122,1.116668,1.279993,2.0184739032405,1.666661,1.463337,0.47698909999999994,-5.69914142,2.720039,-0.27503145999999995,-2.7259971000000003,0.746659,8.944883385487799,56.257431184619996,1.5706270298574532,1.5709743503786,2.0944230276612275,303.9090919027929,0.09871372985970314,0,0,0,1,0,0,6.0,2.03142149646,0.0,0.0,6.0,2.03142148611,4.0,-1.5960282255241827,1.068908809294667,1,0,1
80.0,0.1562,0.5625,0.2812,6.5405,6.5403,24.3429,90.0046,90.0031,119.9922,0.2753,1.1811,1.0398889999999998,1.274556,2.2138721441457005,1.770143,1.373293,0.3260406,-5.7326903799999975,2.2463100000000003,-0.18871531,-2.7408822,0.751484,8.810236000682801,75.72052542931998,1.5708766119404882,1.5708504320017085,2.09425896671154,901.8736361368144,0.08870422284731694,0,1,0,0,0,0,5.4,2.0324354004700003,5.5,2.05552786578,5.5555555555555545,2.06799779563,3.6666666666666665,-1.2898938668335755,0.1664462076356645,1,1,1
30.0,0.75,0.1667,0.0833,4.9172,4.917,13.3449,89.9883,90.0127,120.0015,0.0916,4.0371,1.10333,1.2291599999999998,1.5625238964581998,1.657501,1.462498,0.3555645,-5.76615936,2.854174,-0.23627652,-2.7100816000000005,0.69416,7.8325538862862,41.42331745,1.5705921232724132,1.5710179836098999,2.094421282331975,279.4199810967155,0.10736526386642377,0,0,0,1,0,0,6.0,1.97272353614,6.0,1.97272354973,6.0,1.972723552,4.0,-2.3903240073020524,1.3955266124334682,1,1,1
40.0,0.875,0.0,0.125,4.987,8.5565,9.1881,90.0055,90.0021,90.001,0.1783,3.3353,1.125,1.2362499999999998,1.5621109361249998,1.63125,1.48625,0.408875,-5.749675,2.96375,-0.263325,-2.707875,0.6987500000000001,7.99232428475,37.961096275,1.570892319903756,1.5708329787091884,1.5708137800874171,392.06785241107656,0.10202315684393494,1,0,0,0,0,0,5.285714285714286,1.94822127869,0.0,0.0,5.0,1.90693269506,3.5,-1.7242877541130424,1.2045626303443655,1,0,1
40.0,0.4375,0.25,0.3125,6.0436,6.0427,14.2577,90.0159,90.0033,120.0023,0.3518,0.976,1.0825,1.2781249999999995,2.1105355910625,1.7131250000000002,1.423125,0.4106875,-5.7137375,2.506875,-0.2368125,-2.7329375,0.749375,8.896141903875,65.11579813750001,1.5710738341459638,1.5708539226602125,2.094435244965992,450.9171531058988,0.08870809133004068,0,0,1,0,0,0,5.7142857142857135,2.05267167075,5.5,2.03848417255,4.8,1.98541143443,3.583333333333333,-1.0446924466786793,-0.024292692569044587,1,1,1
40.0,0.875,0.125,0.0,9.7899,5.6664,13.9461,90.5713,90.6612,30.2512,0.2237,1.9672,1.1124999999999998,1.21125,1.357065466875,1.6350000000000002,1.47875,0.33825,-5.784775,2.99125,-0.237775,-2.701375,0.6737500000000001,7.4438859829999995,32.324221275,1.58076739281154,1.5823364438090828,0.5279830426793086,389.7271545897766,0.10263590701577788,0,0,1,0,0,0,5.428571428571429,1.93695941106,5.0,1.90605940552,0.0,0.0,3.583333333333333,-1.4974494104860532,0.6766112119198457,1,1,0
80.0,0.0938,0.5,0.4062,24.717,6.3698,6.2742,90.0001,104.8049,90.0001,0.1898,1.1496,1.043752,1.3003019999999998,2.4534545027670003,1.7790540000000001,1.370318,0.3818274,-5.70055588,2.159746,-0.20502844,-2.7498394,0.7784260000000001,9.3710106816692,84.03143992068001,1.5707980721241486,1.829190577223405,1.5707980721241486,955.0305089551256,0.08376695744257003,0,0,0,0,1,0,4.666666666666667,1.99773959646,4.875,2.0142314906400003,5.230769230769232,2.0393573764900004,3.333333333333333,-1.6617843928063096,0.13941405578267807,1,1,1
80.0,0.8125,0.0312,0.1562,9.2018,9.2011,9.2015,90.00200000000002,90.00299999999999,89.9991,0.2106,3.3923,1.119271,1.2429930000000002,1.6475144718503998,1.6426330000000002,1.477364,0.411615,-5.74271972,2.897295,-0.26042897,-2.7114117,0.7067950000000001,8.1400481737352,42.0324293125,1.5708312333799366,1.570848686672456,1.5707806188316291,779.0604726003296,0.10268779230061294,0,0,0,0,0,1,6.0,1.98570261061,6.0,1.96526115658,6.0,1.9804482395900005,4.0,-1.557794679282262,1.2215081574149964,1,1,1
80.0,0.3438,0.3125,0.3438,6.5261,6.5257,24.2821,90.0123,90.0054,119.9935,0.3269,1.546,1.072611,1.285444,2.2136474246043,1.7311070000000002,1.409207,0.4060844,-5.70910962,2.41119,-0.22933469,-2.7381178,0.7585160000000001,9.0516136640672,70.53911887068001,1.5710110022928918,1.570890574574504,2.094281655991816,895.6248268863394,0.08932311566007149,0,1,0,0,0,0,5.454545454545454,2.04041883572,5.5,2.0507910685,5.545454545454546,2.06099326964,3.6666666666666665,-1.118100965251972,0.4356709501652302,1,1,1
40.0,0.0,0.25,0.75,10.4296,6.1786,15.1318,96.7363,97.9868,32.4294,0.2721,0.4095,1.0650000000000002,1.37,3.0690511845,1.7875,1.375,0.55375,-5.6076000000000015,1.995,-0.2614,-2.7710000000000004,0.8500000000000001,10.8968361265,103.54425,1.6883669411969906,1.7101922834931798,0.5659998044462491,517.833963056408,0.07724483686606468,0,0,1,0,0,0,0.0,0.0,6.0,2.17139958499,5.0,2.10316377821,3.5,-1.3015856331929365,-0.892818375689013,0,1,1
40.0,0.5625,0.0,0.4375,5.2334,8.9433,9.5725,90.0037,90.0005,90.0006,0.2342,2.1264,1.1124999999999998,1.301875,2.2467649314375002,1.6843750000000002,1.4518749999999998,0.5110625,-5.6738625,2.598125,-0.2808875,-2.7350625,0.770625,9.421391586625,65.4099904625,1.5708609039772201,1.5708050534411566,1.5708067987704086,448.03000841513153,0.08927973405508402,1,0,0,0,0,0,5.8888888888888875,2.07022466315,0.0,0.0,4.428571428571429,1.96662716575,3.5,-1.4515798278185201,0.7544304089768438,1,0,1
80.0,0.5938,0.2188,0.1875,24.2551,6.1051,5.9477,89.9995,104.3985,90.0002,0.1469,2.4457,1.091981,1.251684,1.8196263121041,1.685796,1.4423290000000002,0.3772749,-5.74344866,2.683076,-0.23443697,-2.7212402000000004,0.7197560000000001,8.319469173559,52.80540502068,1.5707876001486365,1.8220975591433,1.5707998174534008,853.0701384645038,0.09377892437308516,0,0,0,0,1,0,4.842105263157895,1.93541814372,5.142857142857143,1.95699039338,5.333333333333333,1.96939443694,3.333333333333333,-1.9180031958023054,0.8943313805197279,1,1,1
80.0,0.0,0.5625,0.4375,9.7916,9.7916,9.7914,90.0034,90.00299999999999,89.9955,0.1259,1.3632,1.03375,1.3075,2.556437511375,1.796875,1.35625,0.3771875,-5.69535,2.06375,-0.197525,-2.75475,0.7875,9.525740372125,89.4520625,1.5708556679894643,1.570848686672456,1.5707177869785571,938.7546849503784,0.0852192817596737,0,0,0,0,0,1,0.0,0.0,6.0,2.10923963451,6.0,2.11437508099,4.0,-2.0722673379318355,0.3098348770929142,0,1,1
80.0,0.3438,0.4062,0.25,24.4984,6.2112,6.0629,89.9998,104.4804,90.0001,0.1064,1.9758,1.063132,1.2665620000000002,2.0595974266422,1.7337400000000005,1.403446,0.3530744,-5.7348668400000005,2.43161,-0.21015116,-2.7329670000000004,0.739686,8.6393049418024,66.30223557068001,1.5707928361363923,1.823526983800684,1.5707980721241486,893.2512364534344,0.0895604693676463,0,0,0,0,1,0,4.545454545454546,1.94158912752,4.9230769230769225,1.9719878501900003,5.75,2.02461043773,3.333333333333333,-2.2405497020745933,0.6809733796282366,1,1,1
40.0,0.5,0.0,0.5,5.2826,9.0207,9.6494,90.0033,90.0001,90.0006,0.2341,1.9983,1.11,1.315,2.3836957305,1.695,1.4449999999999998,0.5315,-5.6587,2.525,-0.2844,-2.7405,0.785,9.707205047,70.8997693,1.5708539226602125,1.5707980721241486,1.5708067987704086,459.8204433245172,0.08699047765427446,1,0,0,0,0,0,5.25,2.04637196466,0.0,0.0,5.25,2.0530918282900004,3.5,-1.452006904485272,0.6922968191051063,1,0,1
80.0,0.3125,0.0625,0.625,10.7916,9.2003,9.827,90.0019,89.9989,90.0004,0.2993,1.3459999999999999,1.09625,1.341875,2.6919653930624996,1.7287500000000002,1.4206249999999998,0.5574999999999999,-5.6307625,2.319375,-0.2821625,-2.7535625,0.815625,10.29042627725,84.55066831250002,1.5708294880506846,1.5707771281731249,1.5708033081119046,975.6831034159112,0.08199383562133683,1,0,0,0,0,0,5.3,2.11017672968,5.5,2.12599894099,5.2,2.07702966911,3.5,-1.2063088641234838,0.29713723122253594,1,1,1
40.0,0.25,0.4375,0.3125,6.0905,6.0882,14.9241,90.042,88.1559,120.0197,0.366,1.3392,1.05625,1.2799999999999998,2.213759784375,1.750625,1.39125,0.3660625,-5.7209,2.3287500000000003,-0.209025,-2.7395,0.755,8.930924832375,73.12982215,1.5715293650807345,1.5386107100588693,2.0947389322558383,478.8295383424034,0.08353703520144289,0,0,1,0,0,0,5.0,2.05362344107,5.428571428571429,2.07908720663,6.0,2.11027715806,3.6666666666666665,-1.0051219455807707,0.29207242075307377,1,1,1
80.0,0.0938,0.4688,0.4375,6.6763,6.676,24.590999999999998,90.0029,90.0,119.9897,0.2545,0.927,1.0469810000000002,1.306684,2.5049817661041,1.778296,1.3723290000000001,0.3995249,-5.69234866,2.153076,-0.21143697,-2.7517402000000004,0.784756,9.509100253059,85.44988572068,1.5708469413432042,1.5707963267948966,2.09421533348024,949.3012618888507,0.08427250990989077,0,1,0,0,0,0,5.666666666666668,2.1293963070200004,5.4,2.06758023589,5.571428571428571,2.10799843707,3.6666666666666665,-1.3684544429915595,-0.07580171341628185,1,1,1
80.0,0.2812,0.3438,0.375,24.5303,6.2989,6.2039,89.9999,104.7882,90.0001,0.1647,1.5402,1.066868,1.292188,2.2991060132328,1.7425099999999998,1.400304,0.4088006,-5.7021581600000015,2.34464,-0.22642384,-2.741658,0.766564,9.1993561039476,74.61472605431999,1.5707945814656443,1.8288991072383216,1.5707980721241486,926.8365071478861,0.08631511532296084,0,0,0,0,1,0,5.333333333333333,2.02542273184,4.181818181818182,1.93313468197,5.5,2.03557883302,3.333333333333333,-1.8036296417985422,0.4319122781230127,1,1,1
80.0,0.8125,0.0312,0.1562,10.0379,8.6076,9.2385,90.005,90.00200000000002,90.001,0.1573,3.4388,1.119271,1.2429930000000002,1.6475144718503998,1.6426330000000002,1.477364,0.411615,-5.74271972,2.897295,-0.26042897,-2.7114117,0.7067950000000001,8.1400481737352,42.0324293125,1.5708835932574958,1.5708312333799366,1.5708137800874171,798.2269801001898,0.10022211976593268,1,0,0,0,0,0,5.1923076923076925,1.94954326177,4.0,1.83255705008,5.8,1.99678591467,3.5,-1.8496004689179049,1.235122573318152,1,1,1
80.0,0.625,0.0312,0.3438,10.3335,8.8397,9.4691,90.00399999999998,90.0011,90.0007,0.2876,2.27,1.11188,1.2825099999999998,2.0586547832502,1.6746860000000001,1.456878,0.472997,-5.69778596,2.678114,-0.27099772,-2.7280026,0.7500100000000001,8.998687926133199,58.513247625,1.5708661399649757,1.5708155254166685,1.5708085440996604,864.9553154587289,0.09249032703796037,1,0,0,0,0,0,5.6,2.0338894722,4.0,1.88240510883,4.727272727272728,1.96229884851,3.5,-1.2461846531352454,0.8197798314933114,1,1,1
80.0,0.9688,0.0312,0.0,6.0828,6.0824,23.3707,90.0062,90.0015,120.0065,0.2093,3.9989,1.125632,1.210312,1.3054258437672,1.61624,1.4946959999999998,0.3605744,-5.781191840000001,3.0803599999999998,-0.25167616,-2.6980920000000004,0.670936,7.4264852433024,28.315072195680003,1.5709045372085202,1.5708225067336763,2.094508548794575,748.7768578069565,0.1068409088313797,0,1,0,0,0,0,5.483870967741934,1.92763028888,6.0,2.02366358381,0.0,0.0,3.6666666666666665,-1.5639866495301828,1.386019323300457,1,1,0
80.0,0.4062,0.3438,0.25,9.4551,9.4548,9.4548,90.00299999999999,90.0032,89.9969,0.2108,2.3055,1.071868,1.265938,2.0252444151077995,1.7212600000000002,1.414054,0.36792559999999996,-5.732483159999999,2.4908900000000003,-0.21939884,-2.730783,0.7378140000000001,8.6277291831976,63.63516837931999,1.570848686672456,1.5708521773309605,1.5707422215880849,845.2220485536423,0.09464968423019407,0,0,0,0,0,1,6.0,2.0393975283200003,6.0,2.0383061661200004,6.0,2.0389022044,4.0,-1.55684546231493,0.8352975726646231,1,1,1
80.0,0.5,0.5,0.0,24.401999999999997,6.0269,5.7748,89.9995,103.8357,90.0002,0.0219,2.8387,1.06,1.215,1.5635138535,1.71,1.415,0.249,-5.7991,2.635,-0.1822,-2.7145,0.685,7.51345184,48.3522693,1.5707876001486365,1.812274846113076,1.5707998174534008,824.6489022526857,0.0970109822270602,0,0,0,0,1,0,5.25,1.9418285935,4.75,1.90528110545,0.0,0.0,3.333333333333333,-3.8212686421596818,1.0433462008963401,1,1,0
80.0,0.6875,0.2188,0.0938,6.2346,6.2343,23.7022,90.0153,90.0037,120.0014,0.3124,2.0234,1.0957290000000002,1.232007,1.6143396581496,1.6698669999999998,1.452636,0.346635,-5.76618028,2.792705,-0.22917103,-2.7130883000000003,0.698205,7.890977633764797,44.5751285875,1.5710633621704515,1.5708609039772201,2.0944195370027234,797.828284173542,0.1002722034138847,0,1,0,0,0,0,5.5,1.97246305333,5.571428571428571,1.98729283581,5.333333333333333,1.9363154329400003,3.6666666666666665,-1.163470861016606,0.704779264789653,1,1,1
80.0,0.625,0.1562,0.2188,10.1949,8.7348,9.3631,90.0035,90.0016,90.0009,0.2123,2.5317,1.0993799999999998,1.25751,1.8536093140002,1.6784360000000005,1.4493779999999998,0.402372,-5.732885960000001,2.7056139999999997,-0.24544772,-2.7215026,0.7250099999999999,8.4502496243832,52.876372625,1.5708574133187163,1.5708242520629283,1.5708120347581649,833.7879154823565,0.09594766068745314,1,0,0,0,0,0,5.2,1.98010292168,5.6,2.0059598551,5.142857142857143,1.97634228016,3.5,-1.5497549102729267,0.9288910138498935,1,1,1
40.0,0.0625,0.625,0.3125,10.4654,6.0606,14.7182,88.075,87.7806,30.3034,0.2456,0.6786,1.03,1.281875,2.3169839776875003,1.788125,1.359375,0.3214375,-5.7280625,2.150625,-0.1812375,-2.7460625,0.760625,8.965707760875,81.14384616250003,1.5371987386940058,1.5320604893761347,0.5288941045488497,470.6838302466613,0.08498273666855742,0,0,1,0,0,0,6.0,2.0999880176700003,5.0,2.030547484,5.6,2.07425693956,3.5,-1.4040510827091497,-0.3877234266320073,1,1,1
