number_of_total_atoms,percent_atom_al,percent_atom_ga,percent_atom_in,lattice_vector_1_ang,lattice_vector_2_ang,lattice_vector_3_ang,lattice_angle_alpha_degree,lattice_angle_beta_degree,lattice_angle_gamma_degree,formation_energy_ev_natom,bandgap_energy_ev,avg_rs_max,avg_rCovalent,avg_vIonic,avg_electronegativity,avg_rp_max,avg_LUMO,avg_IP,avg_rd_max,avg_EA,avg_HOMO,avg_rIonic,avg_vCovalent,avg_mass,lattice_angle_alpha_degree_r,lattice_angle_beta_degree_r,lattice_angle_gamma_degree_r,vol,atomic_density,SG_33,SG_194,SG_227,SG_167,SG_12,SG_206
80.0,0.0,0.4062,0.5938,24.765,6.5014,6.486000000000001,90.0003,105.241,90.0,0.0503,1.1844,1.0493800000000002,1.33876,2.8128263661251998,1.792186,1.365628,0.465497,-5.65146096,2.029364,-0.22947272,-2.7628776,0.8187599999999999,10.2115076246332,96.500411,1.5708015627826524,1.8368019580913524,1.5707963267948966,1007.5633115130677,0.07939947702131316,0,0,0,0,1,0
30.0,0.4167,0.3333,0.25,5.0862,5.0858,13.6981,89.9942,90.0065,120.001,0.1919,2.5669999999999997,1.073338,1.265833,2.0194638602822996,1.71916,1.4158389999999998,0.3704246,-5.73208206,2.5008649999999997,-0.22095494,-2.7304155000000003,0.737499,8.6257813392016,63.18638303461999,1.5706950976982808,1.5709097731962762,2.0944125556857154,306.85930378876384,0.09776467465575506,0,0,0,1,0,0
20.0,0.25,0.25,0.5,12.2649,3.1889,6.3388,90.0,105.0943,90.0001,0.2063,1.5596,1.0750000000000002,1.3175,2.52132798825,1.745,1.4024999999999999,0.472,-5.6682500000000005,2.2874999999999996,-0.24735,-2.74925,0.7925,9.753582285,81.58513465,1.5707963267948966,1.8342415600786768,1.5707980721241486,239.36661798834805,0.08355383957914117,0,0,0,0,1,0
80.0,0.0,0.375,0.625,10.9377,9.3249,9.9463,89.9988,89.99799999999999,90.0,0.0918,1.1365,1.0525,1.345,2.86400571525,1.79125,1.3675,0.48312499999999997,-5.6427,2.0225,-0.23585,-2.7645,0.825,10.34839782475,97.907375,1.5707753828438729,1.5707614202098565,1.5707963267948966,1014.4525645756647,0.07886026690017112,1,0,0,0,0,0
30.0,0.5833,0.4167,0.0,4.9153,4.915,13.3346,89.9909,90.0103,120.0011,0.0566,3.9691,1.071662,1.214167,1.5176547852177,1.69334,1.4291610000000001,0.26882540000000005,-5.795917940000001,2.714135,-0.19454506,-2.7115845000000003,0.682501,7.4979989442984,44.791905565380006,1.5706375018329648,1.5709760957078518,2.094414301014967,278.98403662349716,0.10753303437388603,0,0,0,1,0,0
30.0,0.6667,0.0,0.3333,5.0674,5.0672,13.6668,89.9903,90.0102,120.0016,0.2027,2.9122,1.116668,1.279993,2.0184739032405,1.666661,1.4633369999999999,0.47698909999999994,-5.69914142,2.720039,-0.27503145999999995,-2.7259971,0.746659,8.944883385487799,56.257431184619996,1.5706270298574532,1.5709743503786,2.0944230276612275,303.90909190279297,0.09871372985970314,0,0,0,1,0,0
80.0,0.1562,0.5625,0.2812,6.5405,6.5403,24.3429,90.0046,90.0031,119.9922,0.2753,1.1811,1.039889,1.274556,2.2138721441457,1.770143,1.373293,0.3260406,-5.732690379999999,2.2463100000000003,-0.18871531,-2.7408821999999997,0.751484,8.8102360006828,75.72052542931999,1.5708766119404882,1.5708504320017085,2.0942589667115397,901.8736361368143,0.08870422284731694,0,1,0,0,0,0
30.0,0.75,0.1667,0.0833,4.9172,4.917,13.3449,89.9883,90.0127,120.0015,0.0916,4.0371,1.10333,1.2291599999999998,1.5625238964581998,1.6575010000000001,1.462498,0.3555645,-5.76615936,2.854174,-0.23627652,-2.7100816000000005,0.69416,7.8325538862862,41.42331745,1.5705921232724132,1.5710179836098999,2.094421282331975,279.4199810967155,0.10736526386642377,0,0,0,1,0,0
40.0,0.875,0.0,0.125,4.987,8.5565,9.1881,90.0055,90.0021,90.001,0.1783,3.3353,1.125,1.2362499999999998,1.5621109361249998,1.63125,1.48625,0.408875,-5.749675,2.96375,-0.263325,-2.707875,0.6987500000000001,7.99232428475,37.961096275,1.570892319903756,1.5708329787091884,1.5708137800874167,392.06785241107656,0.10202315684393494,1,0,0,0,0,0
40.0,0.4375,0.25,0.3125,6.0436,6.0427,14.2577,90.0159,90.0033,120.0023,0.3518,0.976,1.0825,1.2781249999999997,2.1105355910625,1.7131250000000002,1.423125,0.4106875,-5.7137375,2.506875,-0.23681249999999998,-2.7329375000000002,0.749375,8.896141903875,65.11579813750001,1.5710738341459638,1.5708539226602123,2.0944352449659913,450.91715310589876,0.08870809133004068,0,0,1,0,0,0
40.0,0.875,0.125,0.0,9.7899,5.6664,13.9461,90.5713,90.6612,30.2512,0.2237,1.9672,1.1124999999999998,1.21125,1.357065466875,1.6350000000000002,1.47875,0.33825,-5.784775,2.99125,-0.237775,-2.701375,0.6737500000000001,7.4438859829999995,32.324221275,1.58076739281154,1.5823364438090828,0.5279830426793086,389.7271545897766,0.10263590701577788,0,0,1,0,0,0
80.0,0.0938,0.5,0.4062,24.717,6.3698,6.2742,90.0001,104.8049,90.0001,0.1898,1.1496,1.043752,1.3003019999999998,2.4534545027670003,1.7790540000000001,1.3703180000000001,0.3818274,-5.70055588,2.159746,-0.20502844,-2.7498394,0.7784260000000001,9.371010681669201,84.03143992068,1.5707980721241486,1.829190577223405,1.5707980721241486,955.0305089551257,0.08376695744257003,0,0,0,0,1,0
80.0,0.8125,0.0312,0.1562,9.2018,9.2011,9.2015,90.00200000000001,90.00299999999999,89.9991,0.2106,3.3923,1.119271,1.2429930000000002,1.6475144718503998,1.642633,1.477364,0.411615,-5.74271972,2.8972949999999997,-0.26042897,-2.7114117,0.7067950000000001,8.1400481737352,42.0324293125,1.5708312333799366,1.570848686672456,1.5707806188316287,779.0604726003296,0.10268779230061294,0,0,0,0,0,1
80.0,0.3438,0.3125,0.3438,6.5261,6.5257,24.2821,90.0123,90.0054,119.9935,0.3269,1.546,1.072611,1.285444,2.2136474246043,1.7311070000000002,1.409207,0.4060844,-5.70910962,2.41119,-0.22933468999999998,-2.7381178,0.7585160000000001,9.051613664067201,70.53911887068,1.5710110022928918,1.570890574574504,2.0942816559918156,895.6248268863394,0.08932311566007149,0,1,0,0,0,0
40.0,0.0,0.25,0.75,10.4296,6.1786,15.1318,96.7363,97.9868,32.4294,0.2721,0.4095,1.0650000000000002,1.3699999999999999,3.0690511845,1.7875,1.375,0.55375,-5.607600000000001,1.995,-0.2614,-2.771,0.8500000000000001,10.8968361265,103.54425,1.6883669411969906,1.7101922834931798,0.5659998044462491,517.833963056408,0.07724483686606468,0,0,1,0,0,0
40.0,0.5625,0.0,0.4375,5.2334,8.9433,9.5725,90.0037,90.0005,90.0006,0.2342,2.1264,1.1124999999999998,1.301875,2.2467649314375002,1.6843750000000002,1.4518749999999998,0.5110625,-5.6738625,2.598125,-0.28088749999999996,-2.7350624999999997,0.770625,9.421391586624999,65.4099904625,1.5708609039772201,1.5708050534411566,1.5708067987704086,448.0300084151315,0.08927973405508403,1,0,0,0,0,0
80.0,0.5938,0.2188,0.1875,24.2551,6.1051,5.9477,89.9995,104.3985,90.0002,0.1469,2.4457,1.091981,1.251684,1.8196263121041,1.685796,1.442329,0.37727489999999997,-5.74344866,2.683076,-0.23443696999999997,-2.7212402000000004,0.7197560000000001,8.319469173559,52.80540502068,1.5707876001486365,1.8220975591433002,1.5707998174534008,853.0701384645038,0.09377892437308517,0,0,0,0,1,0
80.0,0.0,0.5625,0.4375,9.7916,9.7916,9.7914,90.0034,90.00299999999999,89.9955,0.1259,1.3632,1.03375,1.3075,2.556437511375,1.796875,1.35625,0.37718749999999995,-5.6953499999999995,2.06375,-0.197525,-2.75475,0.7875,9.525740372125,89.4520625,1.5708556679894643,1.570848686672456,1.5707177869785571,938.7546849503782,0.0852192817596737,0,0,0,0,0,1
80.0,0.3438,0.4062,0.25,24.4984,6.2112,6.0629,89.9998,104.4804,90.0001,0.1064,1.9758,1.063132,1.266562,2.0595974266422,1.7337400000000003,1.403446,0.3530744,-5.7348668400000005,2.43161,-0.21015116,-2.7329670000000004,0.739686,8.6393049418024,66.30223557068,1.5707928361363925,1.8235269838006833,1.5707980721241486,893.2512364534344,0.0895604693676463,0,0,0,0,1,0
40.0,0.5,0.0,0.5,5.2826,9.0207,9.6494,90.0033,90.0001,90.0006,0.2341,1.9983,1.1099999999999999,1.315,2.3836957305,1.695,1.4449999999999998,0.5315,-5.6587,2.525,-0.2844,-2.7405,0.785,9.707205047,70.8997693,1.5708539226602123,1.5707980721241486,1.5708067987704086,459.82044332451727,0.08699047765427446,1,0,0,0,0,0
80.0,0.3125,0.0625,0.625,10.7916,9.2003,9.827,90.0019,89.9989,90.0004,0.2993,1.3459999999999999,1.09625,1.341875,2.6919653930624996,1.7287500000000002,1.4206249999999998,0.5574999999999999,-5.6307624999999994,2.319375,-0.2821625,-2.7535624999999997,0.815625,10.290426277249999,84.55066831250001,1.5708294880506846,1.5707771281731249,1.5708033081119046,975.6831034159113,0.08199383562133682,1,0,0,0,0,0
40.0,0.25,0.4375,0.3125,6.0905,6.0882,14.9241,90.042,88.1559,120.0197,0.366,1.3392,1.05625,1.2799999999999998,2.213759784375,1.7506249999999999,1.3912499999999999,0.36606249999999996,-5.7209,2.3287500000000003,-0.209025,-2.7395,0.755,8.930924832375,73.12982215,1.571529365080734,1.5386107100588693,2.0947389322558383,478.8295383424034,0.08353703520144289,0,0,1,0,0,0
80.0,0.0938,0.4688,0.4375,6.6763,6.676,24.590999999999998,90.0029,90.0,119.9897,0.2545,0.927,1.0469810000000002,1.306684,2.5049817661041,1.778296,1.3723290000000001,0.39952489999999996,-5.69234866,2.153076,-0.21143697,-2.7517402000000004,0.784756,9.509100253059,85.44988572068,1.5708469413432042,1.5707963267948966,2.09421533348024,949.3012618888507,0.08427250990989078,0,1,0,0,0,0
80.0,0.2812,0.3438,0.375,24.5303,6.2989,6.2039,89.9999,104.7882,90.0001,0.1647,1.5402,1.066868,1.292188,2.2991060132328,1.74251,1.400304,0.4088006,-5.702158160000001,2.34464,-0.22642384,-2.741658,0.766564,9.1993561039476,74.61472605432,1.5707945814656445,1.828899107238322,1.5707980721241486,926.8365071478861,0.08631511532296084,0,0,0,0,1,0
80.0,0.8125,0.0312,0.1562,10.0379,8.6076,9.2385,90.005,90.00200000000001,90.001,0.1573,3.4388,1.119271,1.2429930000000002,1.6475144718503998,1.642633,1.477364,0.411615,-5.74271972,2.8972949999999997,-0.26042897,-2.7114117,0.7067950000000001,8.1400481737352,42.0324293125,1.570883593257496,1.5708312333799366,1.5708137800874167,798.2269801001898,0.10022211976593269,1,0,0,0,0,0
80.0,0.625,0.0312,0.3438,10.3335,8.8397,9.4691,90.00399999999999,90.0011,90.0007,0.2876,2.27,1.11188,1.2825099999999998,2.0586547832501996,1.6746860000000001,1.456878,0.472997,-5.69778596,2.678114,-0.27099772,-2.7280026,0.7500100000000001,8.9986879261332,58.513247625,1.5708661399649761,1.5708155254166685,1.5708085440996604,864.9553154587289,0.09249032703796035,1,0,0,0,0,0
80.0,0.9688,0.0312,0.0,6.0828,6.0824,23.3707,90.0062,90.0015,120.0065,0.2093,3.9989,1.125632,1.210312,1.3054258437672,1.6162400000000001,1.494696,0.3605744,-5.781191840000001,3.0803599999999998,-0.25167616,-2.6980920000000004,0.670936,7.4264852433024,28.315072195680003,1.5709045372085202,1.5708225067336763,2.094508548794575,748.7768578069565,0.1068409088313797,0,1,0,0,0,0
80.0,0.4062,0.3438,0.25,9.4551,9.4548,9.4548,90.00299999999999,90.0032,89.9969,0.2108,2.3055,1.071868,1.265938,2.0252444151077995,1.7212600000000002,1.414054,0.36792559999999996,-5.732483159999999,2.49089,-0.21939883999999998,-2.7307829999999997,0.737814,8.6277291831976,63.63516837931999,1.570848686672456,1.5708521773309605,1.5707422215880849,845.2220485536423,0.09464968423019407,0,0,0,0,0,1
80.0,0.5,0.5,0.0,24.401999999999997,6.0269,5.7748,89.9995,103.8357,90.0002,0.0219,2.8387,1.06,1.2149999999999999,1.5635138535,1.71,1.415,0.249,-5.7991,2.635,-0.18219999999999997,-2.7145,0.685,7.51345184,48.3522693,1.5707876001486365,1.812274846113076,1.5707998174534008,824.6489022526856,0.09701098222706021,0,0,0,0,1,0
80.0,0.6875,0.2188,0.0938,6.2346,6.2343,23.7022,90.0153,90.0037,120.0014,0.3124,2.0234,1.095729,1.2320069999999999,1.6143396581496,1.669867,1.452636,0.346635,-5.76618028,2.792705,-0.22917102999999997,-2.7130883000000003,0.698205,7.890977633764799,44.5751285875,1.5710633621704517,1.5708609039772201,2.0944195370027234,797.828284173542,0.1002722034138847,0,1,0,0,0,0
80.0,0.625,0.1562,0.2188,10.1949,8.7348,9.3631,90.0035,90.0016,90.0009,0.2123,2.5317,1.0993799999999998,1.25751,1.8536093140002,1.6784360000000003,1.4493779999999998,0.40237199999999995,-5.732885960000001,2.7056139999999997,-0.24544771999999998,-2.7215026,0.7250099999999999,8.4502496243832,52.876372625,1.5708574133187163,1.5708242520629283,1.5708120347581647,833.7879154823565,0.09594766068745314,1,0,0,0,0,0
40.0,0.0625,0.625,0.3125,10.4654,6.0606,14.7182,88.075,87.7806,30.3034,0.2456,0.6786,1.03,1.2818749999999999,2.3169839776875,1.788125,1.359375,0.3214375,-5.7280625,2.150625,-0.1812375,-2.7460625,0.760625,8.965707760875,81.14384616250001,1.5371987386940058,1.5320604893761347,0.5288941045488497,470.6838302466613,0.08498273666855742,0,0,1,0,0,0
80.0,0.8438,0.125,0.0312,6.142,6.1416,23.5046,90.0119,90.0019,120.0044,0.2261,3.4819,1.111252,1.217802,1.425421321767,1.6403040000000002,1.4753180000000001,0.34845239999999994,-5.77720588,2.954746,-0.23952843999999998,-2.7040894,0.680926,7.5865640624192,35.064718870680004,1.571004020975884,1.5708294880506846,2.0944718968802833,767.8131825460748,0.10419201157073045,0,1,0,0,0,0
30.0,0.4167,0.3333,0.25,5.0862,5.0858,13.6981,89.9942,90.0065,120.001,0.1608,2.5143,1.073338,1.265833,2.0194638602822996,1.71916,1.4158389999999998,0.3704246,-5.73208206,2.5008649999999997,-0.22095494,-2.7304155000000003,0.737499,8.6257813392016,63.18638303461999,1.5706950976982808,1.5709097731962762,2.0944125556857154,306.85930378876384,0.09776467465575506,0,0,0,1,0,0
80.0,0.5,0.5,0.0,6.2225,6.2224,23.7226,90.0187,89.9985,120.0009,0.1117,2.9429,1.06,1.2149999999999999,1.5635138535,1.71,1.415,0.249,-5.7991,2.635,-0.18219999999999997,-2.7145,0.685,7.51345184,48.3522693,1.5711227033650195,1.5707701468561168,2.0944108103564636,795.4479767982816,0.10057225907092511,0,1,0,0,0,0
80.0,0.0625,0.0938,0.8438,10.1256,10.1256,10.1258,90.0009,90.0009,89.9987,0.0908,0.9961,1.083229,1.388257,3.1886931180246,1.772367,1.391386,0.6216349999999999,-5.5794552799999995,2.0339549999999997,-0.28984603000000003,-2.7739632999999997,0.8669549999999999,11.2975505392648,105.1097919625,1.5708120347581647,1.5708120347581647,1.5707736375146206,1038.1757472169058,0.07705824395769247,0,0,0,0,0,1
80.0,0.4062,0.125,0.4688,6.5988,6.5984,24.3959,90.0152,90.0081,119.9925,0.385,1.2886,1.093748,1.309698,2.3841560044829997,1.714696,1.427182,0.4915476,-5.6710441199999995,2.442754,-0.26412156,-2.7421606,0.781574,9.5877155865808,73.50195437932,1.5710616168411997,1.570937698464308,2.094264202699296,919.9915978325528,0.08695731590209671,0,1,0,0,0,0
40.0,0.4375,0.5625,0.0,10.0463,5.7672,14.2585,94.2984,93.5832,30.1116,0.1185,2.3298,1.05125,1.215625,1.5979219179375,1.7225000000000001,1.404375,0.234125,-5.8014875,2.575625,-0.1729375,-2.7166875,0.686875,7.5250461495,51.0236106375,1.6458175593626208,1.6333349645523574,0.5255465630435245,413.2842351168112,0.09678569033414582,0,0,1,0,0,0
30.0,0.5,0.5,0.0,4.936,4.9356,13.3762,89.9923,90.0089,120.0009,0.0467,3.7759,1.06,1.2149999999999999,1.5635138535,1.71,1.415,0.249,-5.7991,2.635,-0.18219999999999997,-2.7145,0.685,7.51345184,48.3522693,1.570661936442493,1.5709516610983238,2.0944108103564636,282.2113960343946,0.10630329044665418,0,0,0,1,0,0
40.0,0.4375,0.0,0.5625,5.3319,9.097999999999999,9.7263,90.0029,89.9996,90.0005,0.2358,1.7358,1.1075,1.328125,2.5206265295624997,1.705625,1.4381249999999999,0.5519375,-5.6435375,2.4518750000000002,-0.2879125,-2.7459375,0.799375,9.993018507375,76.3895481375,1.5708469413432042,1.5707893454778887,1.5708050534411566,471.81917667523703,0.0847782412785075,1,0,0,0,0,0
80.0,0.125,0.8125,0.0625,10.2554,8.8031,9.4214,89.9979,90.0016,90.0016,0.0728,2.1497,1.01375,1.2312500000000002,1.8724849747499999,1.783125,1.355,0.1950625,-5.7958750000000006,2.265,-0.1394,-2.730875,0.70875,7.857236847875,67.19875482500001,1.5707596748806048,1.5708242520629283,1.5708242520629283,850.5575063926744,0.09405595670925351,1,0,0,0,0,0
30.0,0.5,0.5,0.0,4.936,4.9356,13.3762,89.9923,90.0089,120.0009,0.0617,3.7029,1.06,1.2149999999999999,1.5635138535,1.71,1.415,0.249,-5.7991,2.635,-0.18219999999999997,-2.7145,0.685,7.51345184,48.3522693,1.570661936442493,1.5709516610983238,2.0944108103564636,282.2113960343946,0.10630329044665418,0,0,0,1,0,0
80.0,0.6562,0.3438,0.0,9.1287,9.1282,9.1282,90.0038,90.0042,89.9969,0.095,3.8226,1.0818679999999998,1.213438,1.4775212188577997,1.67876,1.441554,0.2861756,-5.79313316,2.7833900000000003,-0.20534884,-2.709033,0.6803140000000001,7.4844753416976,41.67605302932,1.5708626493064723,1.5708696306234802,1.5707422215880849,760.6401156657132,0.10517457382586756,0,0,0,0,0,1
80.0,0.0938,0.6875,0.2188,9.5583,9.5583,9.558,90.0045,90.00399999999999,89.9946,0.1461,1.8387,1.0251109999999999,1.262944,2.1462342131043,1.7848570000000001,1.359207,0.27595939999999997,-5.75375962,2.20119,-0.16673469,-2.7403678,0.7410159999999999,8.549552600317199,75.58760922068,1.5708748666112362,1.5708661399649761,1.5707020790152888,873.2293744915123,0.0916139588714415,0,0,0,0,0,1
80.0,0.6562,0.1562,0.1875,10.1456,8.6961,9.3246,90.0037,90.0017,90.001,0.1985,2.673,1.1005189999999998,1.250816,1.7849055448959,1.672954,1.452671,0.3921001,-5.73990134,2.741924,-0.24366303,-2.7185098000000005,0.7177439999999999,8.306372173691,50.12439322932,1.5708609039772201,1.5708259973921805,1.5708137800874167,822.6829008283032,0.09724281362777015,1,0,0,0,0,0
40.0,0.125,0.3125,0.5625,6.2764,6.2748,14.9602,90.0085,89.999,119.9993,0.4402,0.36700000000000005,1.06375,1.3312499999999998,2.69266685175,1.768125,1.385,0.4775625,-5.655475,2.1550000000000002,-0.24159999999999998,-2.756875,0.80875,10.050990054875,89.74625482500001,1.570944679781316,1.5707788735023767,2.0943828850884314,510.24832824174314,0.07839320147865135,0,0,1,0,0,0
40.0,0.625,0.25,0.125,9.7311,5.7047,14.4281,98.1747,99.6,31.4714,0.2328,2.2593,1.0899999999999999,1.23875,1.6997431938749998,1.6812500000000001,1.44375,0.34937499999999994,-5.759225,2.72625,-0.22627499999999998,-2.7166249999999996,0.70625,8.03870152275,48.646461625,1.7134717571576772,1.7383479349863522,0.5492795502121434,412.2970252395136,0.09701743537141216,0,0,1,0,0,0
80.0,0.1875,0.8125,0.0,10.1568,8.7257,9.3445,89.9983,90.00200000000001,90.00200000000001,0.0614,2.4345,1.0162499999999999,1.218125,1.7355541756875,1.7725,1.361875,0.174625,-5.8110375,2.3381250000000002,-0.1358875,-2.7254375000000004,0.694375,7.5714233875,61.7089759875,1.5707666561976128,1.5708312333799366,1.5708312333799366,828.1580843387324,0.09659991433142671,1,0,0,0,0,0
80.0,0.2188,0.5312,0.25,24.6283,6.2468,6.0884,89.9999,104.4371,90.0001,0.1138,1.6944,1.045632,1.267812,2.1284135555172,1.7587400000000002,1.382196,0.32332439999999996,-5.739641840000001,2.31286,-0.19162616,-2.737342,0.743436,8.6624935608024,71.64491824568,1.5707945814656445,1.82277125623457,1.5707980721241486,907.1097360610087,0.08819219640105319,0,0,0,0,1,0
